# metric                                  direction  baseline  tolerance_percent
# Relative speedups are intentionally preferred over raw wall time so this gate
# remains portable across CI runners. The HUD has no equivalent control path,
# so its per-frame ceiling carries a wider tolerance.
#
# accessibility_empty_attribute_guard_speedup was lowered from 1.60 to 1.15 on
# 2026-07-27: the interned flat AttributeMap made the unguarded lookup chain it
# is measured against cheaper on an empty map (47.4ms -> 30.1-31.4ms per 2M
# nodes), while the guarded path was unchanged. The guard still wins; its
# denominator simply stopped being slow.
handler_expression_cache_speedup          lower      1.38      15
handler_sparse_vs_full_speedup            lower      2.00      25
unbound_handler_speedup                   lower      50.00     75
contract_validation_lookup_speedup        lower      1.50      20
retained_update_speedup                   lower      1.15      5
retained_scope_speedup                    lower      5.50      10
animation_retained_scope_speedup          lower      5.50      10
animation_frame_speedup                   lower      1.30      10
narrow_script_scope_speedup               lower      1.60      10
narrow_script_frame_speedup               lower      1.08      5
render_object_direct_scope_speedup        lower      125.00    15
render_child_id_reuse_speedup              lower      1.25      10
render_dirty_result_speedup                lower      1.10      8
text_blur_metadata_cache_speedup           lower      1.10      5
multi_damage_4_rect_speedup                lower      3.30      15
multi_damage_16_rect_speedup               lower      5.55      15
retained_render_direct_scope_speedup      lower      1.30      10
scroll_retained_scope_speedup             lower      7.80      10
paint_only_frame_speedup                  lower      1.30      10
child_display_list_lru_speedup            lower      3.50      20
template_dependency_gate_speedup          lower      20.00     50
thread_vm_checkout_speedup                 lower      30.00     40
lazy_element_metrics_speedup               lower      50.00     30
perf_hud_micros_per_frame                 upper      205.00    100
borrowed_find_nodes_keys_speedup           lower      1.35      12
hover_prefix_diff_speedup                  lower      100.00    35
borrowed_key_path_speedup                  lower      1.70      15
allocation_profiler_operation_overhead     upper      1.15      25
style_single_bucket_speedup                lower      1.20      20
accessibility_empty_attribute_guard_speedup lower      1.15      20
scroll_offset_scrollable_gate_speedup      lower      3.40      20
node_id_scroll_offsets_speedup              lower      4.30      15
node_id_checked_state_speedup               lower      1.60      10
node_id_input_values_speedup                lower      1.60      10
node_id_slider_values_speedup               lower      1.60      10
node_id_hover_path_speedup                  lower      1.60      10
node_id_focus_state_speedup                 lower      1.60      10
unmatched_prop_handler_call_speedup        lower      1.05      20
element_contract_dispatch_speedup          lower      4.40      20
inherited_style_mask_bucket_speedup        lower      2.40      20
accessibility_attribute_pass_speedup       lower      6.00      20
typed_attribute_storage_speedup            lower      1.55      15
shared_module_id_speedup                   lower      2.50      20
for_children_capacity_speedup              lower      1.05      20
interned_attribute_map_speedup             lower      1.05      20
style_function_scan_speedup                lower      3.00      20
borrowed_style_props_speedup               lower      2.50      20
shared_theme_defaults_speedup              lower      1.80      20
shared_theme_revision_cache_speedup        lower      5.50      20
